id,name,age,salary,city,bonus,salary_lakh
1,User_1,22,117561,HYD,11756.1,1.18
2,User_2,21,101179,HYD,10117.900000000001,1.01
3,User_3,56,90171,Chennai,9017.1,0.9
4,User_4,50,45021,Chennai,4502.1,0.45
5,User_5,54,107763,Bangalore,10776.300000000001,1.08
6,User_6,42,138001,Chennai,13800.1,1.38
7,User_7,51,21394,Bangalore,2139.4,0.21
8,User_8,31,78628,Chennai,7862.8,0.79
9,User_9,58,76483,Chennai,7648.3,0.76
10,User_10,36,84757,Mumbai,8475.7,0.85
11,User_11,57,48887,Mumbai,4888.7,0.49
12,User_12,40,125525,Mumbai,12552.5,1.26
13,User_13,50,118230,Chennai,11823.0,1.18
14,User_14,42,49233,Chennai,4923.3,0.49
15,User_15,45,63757,Mumbai,6375.700000000001,0.64
16,User_16,57,122378,Chennai,12237.800000000001,1.22
17,User_17,55,147112,HYD,14711.2,1.47
18,User_18,42,137444,HYD,13744.400000000001,1.37
19,User_19,25,94262,Bangalore,9426.2,0.94
20,User_20,54,23305,HYD,2330.5,0.23
21,User_21,52,86798,Bangalore,8679.800000000001,0.87
22,User_22,28,28461,Mumbai,2846.1000000000004,0.28
23,User_23,52,131771,HYD,13177.1,1.32
24,User_24,39,26746,Chennai,2674.6000000000004,0.27
25,User_25,20,140013,HYD,14001.300000000001,1.4
26,User_26,54,52487,Chennai,5248.700000000001,0.52
27,User_27,26,127177,Mumbai,12717.7,1.27
28,User_28,57,85830,Mumbai,8583.0,0.86
29,User_29,35,62392,HYD,6239.200000000001,0.62
30,User_30,54,64262,Bangalore,6426.200000000001,0.64
31,User_31,31,46370,Chennai,4637.0,0.46
32,User_32,25,89218,Mumbai,8921.800000000001,0.89
33,User_33,39,80215,HYD,8021.5,0.8
34,User_34,49,95121,Bangalore,9512.1,0.95
35,User_35,31,118298,Bangalore,11829.800000000001,1.18
36,User_36,59,111514,HYD,11151.400000000001,1.12
37,User_37,48,105802,Mumbai,10580.2,1.06
38,User_38,53,144255,HYD,14425.5,1.44
39,User_39,58,94317,HYD,9431.7,0.94
40,User_40,31,92992,Bangalore,9299.2,0.93
41,User_41,58,81551,Mumbai,8155.1,0.82
42,User_42,37,76986,HYD,7698.6,0.77
43,User_43,57,132809,Chennai,13280.900000000001,1.33
44,User_44,29,95419,Chennai,9541.9,0.95
45,User_45,26,66450,Bangalore,6645.0,0.66
46,User_46,38,129935,Bangalore,12993.5,1.3
47,User_47,60,105290,Chennai,10529.0,1.05
48,User_48,54,25686,HYD,2568.6000000000004,0.26
49,User_49,28,80224,Mumbai,8022.400000000001,0.8
50,User_50,60,109569,Mumbai,10956.900000000001,1.1
51,User_51,29,89770,Mumbai,8977.0,0.9
52,User_52,20,104023,Mumbai,10402.300000000001,1.04
53,User_53,18,45188,Bangalore,4518.8,0.45
54,User_54,22,142627,HYD,14262.7,1.43
55,User_55,46,46164,HYD,4616.400000000001,0.46
56,User_56,38,125259,Bangalore,12525.900000000001,1.25
57,User_57,55,108870,Chennai,10887.0,1.09
58,User_58,45,140961,Bangalore,14096.1,1.41
59,User_59,50,83443,HYD,8344.300000000001,0.83
60,User_60,25,107071,Bangalore,10707.1,1.07
61,User_61,27,145397,Bangalore,14539.7,1.45
62,User_62,38,21951,Mumbai,2195.1,0.22
63,User_63,43,130868,HYD,13086.800000000001,1.31
64,User_64,51,61549,HYD,6154.900000000001,0.62
65,User_65,58,28334,Mumbai,2833.4,0.28
66,User_66,41,119725,Mumbai,11972.5,1.2
67,User_67,19,90199,HYD,9019.9,0.9
68,User_68,42,143744,Mumbai,14374.400000000001,1.44
69,User_69,36,120771,Bangalore,12077.1,1.21
70,User_70,60,41018,HYD,4101.8,0.41
71,User_71,45,89239,Bangalore,8923.9,0.89
72,User_72,35,95200,HYD,9520.0,0.95
73,User_73,50,77822,Chennai,7782.200000000001,0.78
74,User_74,37,58889,HYD,5888.900000000001,0.59
75,User_75,59,71670,Bangalore,7167.0,0.72
76,User_76,29,76842,Mumbai,7684.200000000001,0.77
77,User_77,55,57443,Mumbai,5744.3,0.57
78,User_78,55,109826,HYD,10982.6,1.1
79,User_79,54,86701,HYD,8670.1,0.87
80,User_80,25,34963,Chennai,3496.3,0.35
81,User_81,18,65695,HYD,6569.5,0.66
82,User_82,20,118838,Bangalore,11883.800000000001,1.19
83,User_83,21,133608,Bangalore,13360.800000000001,1.34
84,User_84,52,142507,HYD,14250.7,1.43
85,User_85,18,122086,Chennai,12208.6,1.22
86,User_86,39,128384,Bangalore,12838.400000000001,1.28
87,User_87,32,45811,Chennai,4581.1,0.46
88,User_88,30,32707,Mumbai,3270.7000000000003,0.33
89,User_89,22,27036,Chennai,2703.6000000000004,0.27
90,User_90,49,88672,Mumbai,8867.2,0.89
91,User_91,42,107369,Mumbai,10736.900000000001,1.07
92,User_92,57,25616,Chennai,2561.6000000000004,0.26
93,User_93,25,41056,Chennai,4105.6,0.41
94,User_94,23,104112,Chennai,10411.2,1.04
95,User_95,46,112476,HYD,11247.6,1.12
96,User_96,56,84560,Chennai,8456.0,0.85
97,User_97,45,21539,HYD,2153.9,0.22
98,User_98,46,138880,HYD,13888.0,1.39
99,User_99,44,112604,Mumbai,11260.400000000001,1.13
100,User_100,18,48811,HYD,4881.1,0.49
101,User_101,60,115543,Mumbai,11554.300000000001,1.16
102,User_102,26,131222,HYD,13122.2,1.31
103,User_103,25,122402,Bangalore,12240.2,1.22
104,User_104,35,64565,Bangalore,6456.5,0.65
105,User_105,49,62598,Chennai,6259.8,0.63
106,User_106,19,94647,HYD,9464.7,0.95
107,User_107,57,37654,HYD,3765.4,0.38
108,User_108,32,144211,HYD,14421.1,1.44
109,User_109,60,54148,Mumbai,5414.8,0.54
